Year,Emirate En,Emirate Ar,Geo Coordinates,Sector En,Sector Ar,Category En,Category Ar,Gender En,Gender Ar,Total
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,Nurse,ممرض,Male,ذكر,167
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,Nurse,ممرض,Female,انثي,2289
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,Nurse,ممرض,Male,ذكر,80
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,Nurse,ممرض,Female,انثي,527
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,Nurse,ممرض,Male,ذكر,44
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,Nurse,ممرض,Female,انثي,511
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,Nurse,ممرض,Male,ذكر,79
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,Nurse,ممرض,Female,انثي,492
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Private,خاص,Nurse,ممرض,Male,ذكر,2
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Private,خاص,Nurse,ممرض,Female,انثي,34
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Nurse,ممرض,Male,ذكر,200
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Nurse,ممرض,Female,انثي,951
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Nurse,ممرض,Male,ذكر,50
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Nurse,ممرض,Female,انثي,353
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Nurse,ممرض,Male,ذكر,72
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Nurse,ممرض,Female,انثي,555
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,Nurse,ممرض,Male,ذكر,49
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,Nurse,ممرض,Female,انثي,258
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,Technicians,فنيون,Male,ذكر,2285
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,Technicians,فنيون,Female,انثي,2346
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,Technicians,فنيون,Male,ذكر,1798
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,Technicians,فنيون,Female,انثي,2375
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,Technicians,فنيون,Male,ذكر,1141
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,Technicians,فنيون,Female,انثي,1485
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,Technicians,فنيون,Male,ذكر,2188
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,Technicians,فنيون,Female,انثي,3441
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,Technicians,فنيون,Male,ذكر,270
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,Technicians,فنيون,Female,انثي,540
